date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:39	330/330	---M-Z	200	added ('OK')	text/plain	date:Wed,%2018%20Jan%202023%2015:29:28%20GMT	https://www.lehibakery.com/robots.txt		(from )
16:40:40	270903/270903	---M-Z	200	added ('OK')	text/html	etag:W/%222a13435c06a05d4854fddef811dba64b%22	https://www.lehibakery.com/	~/Develop/lehibakery/www.lehibakery.com/index.html	(from )
16:40:41	252682/252682	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2023:40:40%20GMT	https://www.lehibakery.com/cart	~/Develop/lehibakery/www.lehibakery.com/cart.html	(from https://www.lehibakery.com/)
16:40:42	259010/259010	---M-Z	200	added ('OK')	text/html	etag:W/%225bb45713a96f93afacd0007c03ee6bec--gzip%22	https://www.lehibakery.com/home-1	~/Develop/lehibakery/www.lehibakery.com/home-1.html	(from https://www.lehibakery.com/)
16:40:43	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work	~/Develop/lehibakery/www.lehibakery.com/custom-work.html	(from https://www.lehibakery.com/)
16:40:44	265570/265570	---MCZ	200	added ('OK')	text/html	etag:W/%2255d5b4184a4727abc7473fa3aaa05398--gzip%22	https://www.lehibakery.com/contact	~/Develop/lehibakery/www.lehibakery.com/contact.html	(from https://www.lehibakery.com/)
16:40:45	266155/266155	---MCZ	200	added ('OK')	text/html	etag:W/%229bbbdcb064ef0010b1bf3ec1c4778774--gzip%22	https://www.lehibakery.com/applynow	~/Develop/lehibakery/www.lehibakery.com/applynow.html	(from https://www.lehibakery.com/)
16:40:46	378383/378383	---M-Z	200	added ('OK')	text/html	etag:W/%22a5bf86b231fb7c9c8b51870f8d022f05%22	https://www.lehibakery.com/donuts	~/Develop/lehibakery/www.lehibakery.com/donuts.html	(from https://www.lehibakery.com/)
16:40:47	269097/269097	---M-Z	200	added ('OK')	text/html	etag:W/%22962152662f4c5bdd2107d32c31d69f89--gzip%22	https://www.lehibakery.com/cinnamon-rolls-danishes	~/Develop/lehibakery/www.lehibakery.com/cinnamon-rolls-danishes.html	(from https://www.lehibakery.com/)
16:40:48	301810/301810	---M-Z	200	added ('OK')	text/html	etag:W/%22b85fb1fd4aba5d51528b1d9d09492bd7%22	https://www.lehibakery.com/brownies-cookies	~/Develop/lehibakery/www.lehibakery.com/brownies-cookies.html	(from https://www.lehibakery.com/)
16:40:49	292220/292220	---M-Z	200	added ('OK')	text/html	etag:W/%22b09103c5d6e65f029dd178f626d5c9ce%22	https://www.lehibakery.com/cakes	~/Develop/lehibakery/www.lehibakery.com/cakes.html	(from https://www.lehibakery.com/)
16:40:50	274537/274537	---M-Z	200	added ('OK')	text/html	etag:W/%2256fb10f932bc800809541e8784c63f0a--gzip%22	https://www.lehibakery.com/bread-rolls	~/Develop/lehibakery/www.lehibakery.com/bread-rolls.html	(from https://www.lehibakery.com/)
